,gene_symbol,DE,adj_pval_DE,SD_ratio,LFC,DV,adj_pval_DV,DS,adj_pval_DS,de_bs,dv_bs,ds_bs
ENSG00000256087,ZNF432,0.004015449,1,0.750632366,-0.413821596,-0.05480918,0.417208221,-0.819861824,1,0,0,0
ENSG00000160223,ICOSLG,-0.172078337,1,0.931609392,-0.10220291,-0.064403192,1,-0.819815374,0.000386016,0,0,1
ENSG00000112079,STK38,0.128580325,0.559348025,0.909473332,-0.13689676,-0.033528935,1,-0.819548569,1,0,0,0
ENSG00000170954,ZNF415,-0.079408964,0.533397473,0.689407348,-0.53657142,-0.077980068,0.085927432,-0.819230958,1,0,0,0
ENSG00000163154,TNFAIP8L2,-0.055707518,1,0.908777489,-0.138000995,-0.049678189,1,-0.818999755,0.970987854,0,0,0
ENSG00000100368,CSF2RB,0.171516793,1,0.599958462,-0.737065476,-0.326928858,0.005213633,-0.818989608,1,0,1,0
ENSG00000152464,RPP38,-0.018164432,1,0.61900828,-0.691969388,-0.084493624,0.007250592,-0.818857808,0.290765946,0,0,0
ENSG00000227124,ZNF717,-0.073401071,0.723804941,0.683666252,-0.548635884,-0.078212734,0.06739659,-0.818544848,0.756547424,0,0,0
ENSG00000272853,AC069544.1,-0.207286476,0.000145244,0.72117551,-0.471577688,-0.08503674,0.192158479,-0.818025568,0.91030413,1,0,0
ENSG00000134955,SLC37A2,-0.008394978,1,0.854313208,-0.227163008,-0.0646808,1,-0.817903732,1,0,0,0
ENSG00000027847,B4GALT7,-0.134643388,0.001312146,0.691923141,-0.531316304,-0.070166355,0.095547966,-0.817883079,0.253884662,0,0,0
ENSG00000119720,NRDE2,0.06268024,1,0.694474614,-0.526006137,-0.075352761,0.107559767,-0.817882513,0.222176162,0,0,0
ENSG00000204348,DXO,-0.045091314,1,0.720190536,-0.473549454,-0.065310731,0.201741208,-0.817874509,0.313125385,0,0,0
ENSG00000251247,ZNF345,-0.027619146,1,0.770730942,-0.375700783,-0.06757497,1,-0.817678464,0.872535814,0,0,0
ENSG00000140474,ULK3,-0.083598286,0.465362945,0.735415562,-0.443368389,-0.066434134,0.270241844,-0.817622539,1,0,0,0
ENSG00000267244,AC012615.6,-0.155460614,0.640243777,0.818437859,-0.289055212,-0.087262285,1,-0.817616481,1,0,0,0
ENSG00000131634,TMEM204,0.213003776,0.28489165,0.787928553,-0.343863278,-0.121792233,0.877930629,-0.817539669,1,0,0,0
ENSG00000272077,AC124045.1,-0.008859813,1,0.820321516,-0.285738626,-0.047487046,1,-0.817121295,1,0,0,0
ENSG00000102738,MRPS31,-0.052472206,0.549276799,0.719276316,-0.475381995,-0.046181104,0.190706934,-0.816951872,0.977772058,0,0,0
